,Timepoint,Condition,PBMC_sample,Cell_Type,MFI,Positive_Percentage
287,48,PBMC_Only,Whole_PBMC,DR_MO,31868.0,99.93333333333334
288,48,TGE12_Cal27,CD3neg_PBMC,CD40_B,2386.0,96.23333333333333
289,48,TGE12_Cal27,CD3neg_PBMC,CD40_DC,8803.0,98.43333333333334
290,48,TGE12_Cal27,CD3neg_PBMC,CD40_MO,7325.333333333333,98.16666666666667
291,48,TGE12_Cal27,CD3neg_PBMC,CD80_B,47.4,2.1533333333333338
292,48,TGE12_Cal27,CD3neg_PBMC,CD80_DC,621.6666666666666,79.83333333333333
293,48,TGE12_Cal27,CD3neg_PBMC,CD80_MO,518.0,78.76666666666667
294,48,TGE12_Cal27,CD3neg_PBMC,CD86_B,3213.0,98.16666666666667
295,48,TGE12_Cal27,CD3neg_PBMC,CD86_DC,25028.666666666668,99.60000000000001
296,48,TGE12_Cal27,CD3neg_PBMC,CD86_MO,15800.333333333334,99.86666666666667
297,48,TGE12_Cal27,CD3neg_PBMC,DR_B,63256.0,100.0
298,48,TGE12_Cal27,CD3neg_PBMC,DR_DC,86925.66666666667,98.39999999999999
299,48,TGE12_Cal27,CD3neg_PBMC,DR_MO,63599.0,99.76666666666667
300,48,TGE12_Cal27,TW,CD40_B,2199.3333333333335,94.46666666666665
301,48,TGE12_Cal27,TW,CD40_DC,7167.666666666667,98.36666666666667
302,48,TGE12_Cal27,TW,CD40_MO,5937.0,96.3
303,48,TGE12_Cal27,TW,CD80_B,60.36666666666667,4.926666666666667
304,48,TGE12_Cal27,TW,CD80_DC,558.0,76.23333333333333
305,48,TGE12_Cal27,TW,CD80_MO,414.0,63.666666666666664
306,48,TGE12_Cal27,TW,CD86_B,3090.3333333333335,96.3
307,48,TGE12_Cal27,TW,CD86_DC,25936.333333333332,99.39999999999999
308,48,TGE12_Cal27,TW,CD86_MO,13259.333333333334,99.86666666666667
309,48,TGE12_Cal27,TW,DR_B,56373.0,100.0
310,48,TGE12_Cal27,TW,DR_DC,93065.33333333333,99.60000000000001
311,48,TGE12_Cal27,TW,DR_MO,65392.333333333336,99.93333333333334
312,48,TGE12_Cal27,Whole_PBMC,CD40_B,2620.3333333333335,95.76666666666667
313,48,TGE12_Cal27,Whole_PBMC,CD40_DC,10323.0,98.5
314,48,TGE12_Cal27,Whole_PBMC,CD40_MO,9834.333333333334,98.96666666666665
315,48,TGE12_Cal27,Whole_PBMC,CD80_B,54.56666666666666,4.17
316,48,TGE12_Cal27,Whole_PBMC,CD80_DC,721.6666666666666,86.96666666666665
317,48,TGE12_Cal27,Whole_PBMC,CD80_MO,614.6666666666666,88.13333333333333
318,48,TGE12_Cal27,Whole_PBMC,CD86_B,3126.0,96.93333333333334
319,48,TGE12_Cal27,Whole_PBMC,CD86_DC,27723.333333333332,99.60000000000001
320,48,TGE12_Cal27,Whole_PBMC,CD86_MO,18553.333333333332,99.90000000000002
321,48,TGE12_Cal27,Whole_PBMC,DR_B,58557.0,100.0
